No,Code,Loc,ID,Desc,EC,TA,TW,Q,Coordx,Coordy,Coordz,SiO2,SiO4,Al,Fe,Ca,Mg,Na,K ,Li,NH3,Cl,SO4,HCO3,H2S,B,Al3+,As3+,NH4+,CO3-,F,Br,NO3,PO42-,H2S,pH,GT1,GT2,GT3,GT4,GT5,GT6,GT7,GT8,GT9,GT10,GT11,GT12,GT13,GT14,GT15,GT16,GT17,GT18,GT19,GT20,GT21,GT22,GT23,GT24,GT25,GT26,18O,D,RE,Kelompok Data
1,11,"Kraha Bodas, Jawa Barat",TEL-1,,,22,,,,,,97.1,,,3.3,36.9,32,12.3,3.3,0.08,,62,216,,,0.25,8,,,,0.21,,,,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Krahmer, M. S., 1995",PSDG
2,12,"Kraha Bodas, Jawa Barat",TEL-2,,,93,,,,,,336,,,30.8,207.4,92,42.3,1.7,0.04,,16,2050,,,0.19,94.1,,,,0.54,,,,,2.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Krahmer, M. S., 1995",
3,13,"Kraha Bodas, Jawa Barat",TEL-3,,,90,,,,,,320,,,168.4,322.7,140.4,68.9,27.1,0.48,,3072,5016,,,1.46,328,,,,0.08,,,,,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Krahmer, M. S., 1995",
4,14,"Kraha Bodas, Jawa Barat",TEL-4,,,72,,,,,,189,,,24.8,61.5,20.1,26.3,10.3,0.17,,26,1560,,,0.35,58.2,,,,0.29,,,,,1.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Krahmer, M. S., 1995",
5,15,"Kraha Bodas, Jawa Barat",TEL-5,,,61,,,,,,293,,,17.6,131.1,58.7,75.8,14.5,0.16,,288,622,,,1.97,32,,,,1.04,,,,,2.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Krahmer, M. S., 1995",
6,16,"Kraha Bodas, Jawa Barat",TEL-6,,,48,,,,,,189,,,94.4,157.3,72.1,51.1,24.4,0.06,,2129,438,,,10.3,460.8,,,,1.59,,,,,2.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Krahmer, M. S., 1995",
7,17,"Kraha Bodas, Jawa Barat",TEL-7,,,43,,,,,,183,,,15.2,67.1,32.8,38.2,9.9,,,322,298,,,1.91,35.6,,,,0.8,,,,,2.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Krahmer, M. S., 1995",
8,18,"Kraha Bodas, Jawa Barat",TEL-8,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Krahmer, M. S., 1995",
9,19,"Kraha Bodas, Jawa Barat",KR-1,,,22,,,,,,39.2,,,1,8.4,4.9,3.7,1.1,,,4.6,27.4,,,,,,,,0.06,,,,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Krahmer, M. S., 1995",
10,110,"Kraha Bodas, Jawa Barat",KR-2,,,22,,,,,,43.2,,,30.7,3.3,1.4,6.5,3,0.1,,4.3,184,,,0.18,5,,,,0.04,,,,,3.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Krahmer, M. S., 1995",
11,111,"Kraha Bodas, Jawa Barat",KR-3,,,96,,,,,,246,,,14.4,28.9,19.4,12.8,6.6,,,2.6,965,,,0.09,35.8,,49.4,,0.18,,,,,2.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Krahmer, M. S., 1995",
12,112,"Kraha Bodas, Jawa Barat",KR-4,,,91,,,,,,121.2,,,1.2,7,1,3,10.7,,,11.2,108,,,,0.5,,94.2,33,0.11,,,,,6.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Krahmer, M. S., 1995",
13,113,"Kraha Bodas, Jawa Barat",KR-5,,,22,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,7.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Krahmer, M. S., 1995",
14,114,"Kraha Bodas, Jawa Barat",KR-6,,,38,,,,,,,,,,,,,,,,,,,,,,,,167,,,,,,6.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Krahmer, M. S., 1995",
15,115,"Kraha Bodas, Jawa Barat",KR-7,,,92,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,6.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Krahmer, M. S., 1995",
16,116,"Kraha Bodas, Jawa Barat",TAK-1,,,38,,,,,,,,,,,,,,,,,,,,,,,,166,,,,,,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Krahmer, M. S., 1995",
17,117,"Kraha Bodas, Jawa Barat",TAK-2,,,26,,,,,,,,,,,,,,,,,,,,,,,,55,,,,,,6.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Krahmer, M. S., 1995",
18,118,"Kraha Bodas, Jawa Barat",TAK-3,,,46,,,,,,,,,,,,,,,,,,,,,,,,656,,,,,,6.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Krahmer, M. S., 1995",
19,119,"Kraha Bodas, Jawa Barat",TAK-4,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Krahmer, M. S., 1995",
20,120,"Kraha Bodas, Jawa Barat",TAK-5,,,23,,,,,,,,,,,,,,,,,,,,,,,,44.2,,,,,,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Krahmer, M. S., 1995",
21,21,"Lomblen, NTT",Bata,,,,,,,,,97.67,,,0,45,14.4,81.86,7.6,0.2,2,55.6,3.6,332.43,,0.28,,,,,1.5,,,,,6.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dirasutisna, S., 2004",
22,22,"Lomblen, NTT",Adum,,,,,,,,,90.78,,,0.55,475,72,1195,80,1.5,2.61,1520.32,1250,575.35,,10,,,,,1.5,,,,,6.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dirasutisna, S., 2004",
23,23,"Lomblen, NTT",Boto-1,,,,,,,,,195.51,,,33.2,150,33.6,40,8.69,0.3,0,434.88,500,0,,1.5,,,,,3,,,,,2.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dirasutisna, S., 2004",
24,24,"Lomblen, NTT",Boto-2,,,,,,,,,206.4,,,0.64,133.8,36,43.33,10.32,0.2,0,372.25,400,0,,1.39,,,,,3,,,,,2.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dirasutisna, S., 2004",
25,25,"Lomblen, NTT",Boto-3,,,,,,,,,186.33,,,28,136,38.44,41.67,10.32,0.2,2,466.19,500,0,,1.67,,,,,2,,,,,2.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dirasutisna, S., 2004",
26,26,"Lomblen, NTT",Boto-4,,,,,,,,,190.05,,,21,155,38.4,41.67,10.32,0,0,445.3,500,0,,1.67,,,,,15,,,,,2.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dirasutisna, S., 2004",
27,27,"Lomblen, NTT",Way Kating,,,,,,,,,108.56,,,5.34,76,13.75,23.33,3.8,0.1,0,180.91,187.5,0,,0.56,,,,,2,,,,,3.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dirasutisna, S., 2004",
28,28,"Lomblen, NTT",As. Sabuboto,,,,,,,,,68.5,,,0,36,14.4,28.33,2.72,0.2,1.7,38.27,0,179,,0.28,,,,,3,,,,,7.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dirasutisna, S., 2004",
29,29,"Lomblen, NTT",As. Pagualo,,,,,,,,,38.97,,,0.04,45,19.2,25,1.63,0,1.7,38.27,125,63.93,,0.28,,,,,2,,,,,7.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dirasutisna, S., 2004",
30,31,"Guci, Jawa Tengah",AP. Guci,,,,,,,,,90.68,,,0.38,40,28.5,53.85,31,3.6,0,26.58,44.4,389.37,,5.17,,,,,1,,,,,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Suparman, dkk., 1999",
31,32,"Guci, Jawa Tengah",AP. Kasepuhan,,,,,,,,,116.98,,,0.24,45,46.5,149.04,38.21,3.75,0.12,61.29,112.55,585.37,,8.39,,,,,1,,,,,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Suparman, dkk., 1999",
32,33,"Guci, Jawa Tengah",AD. Guci,,,,,,,,,41.72,,,1.2,15,6,14.17,4.5,0.46,0,7.38,16.58,100.43,,0,,,,,0.3,,,,,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Suparman, dkk., 1999",
33,41,"Flores Timur, NTT",Ap. Oka 1,,,54.5,,,,,,180.04,,,0.12,153.6,175.68,1818.2,250,0.39,,3102.7,530,229.48,,2.66,,,0.56,,2.5,,,,,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dirasutisna, S., 2004",
34,42,"Flores Timur, NTT",Ap. Oka 2,,,41.2,,,,,,137.4,,,0.17,65.28,57.6,630,62,0.11,,1012.46,155,164.58,,1.08,,,0.74,,1.5,,,,,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dirasutisna, S., 2004",
35,43,"Flores Timur, NTT",Ap. Oka 3,,,42.5,,,,,,144.11,,,0.03,192,142.85,1182.41,113.51,0.15,,2122.88,155,113.5,,1.37,,,0,,2,,,,,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dirasutisna, S., 2004",
36,44,"Flores Timur, NTT",Ap. Hading 1,,,46.5,,,,,,173.6,,,1.91,249.6,34.56,333,500,0.13,,444,368,96.2,,2.63,,,3.85,,2,,,,,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dirasutisna, S., 2004",
37,45,"Flores Timur, NTT",Ap. Hading 2,,,40.6,,,,,,168.4,,,0.02,134.2,86.4,600,75,0.13,,987.46,388,172.69,,1.44,,,0,,3,,,,,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dirasutisna, S., 2004",
38,46,"Flores Timur, NTT",T. Oka,,,33.1,,,,,,94.77,,,0.04,249.6,466.56,10000,500,0.1,,15382.86,2436.08,118.22,,2.88,,,0,,5,,,,,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dirasutisna, S., 2004",
39,47,"Flores Timur, NTT",As. Hading,,,34.9,,,,,,169.1,,,0.05,57.6,28.8,194.92,75,0.12,,291.1,193,104.31,,1.44,,,1.11,,1,,,,,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dirasutisna, S., 2004",
40,51,"Inielka, Flores Tengah",Mapa 1,,,34.5,,,,,740,107,,,0.96,112,25,27,6.8,21,,26,442,,,354,,,,,1,,,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kusnadi, D., 2002",
41,52,"Inielka, Flores Tengah",Mapa 2,,,41.8,,,,,750,150,,,7.7,148,40,51,15,18,,131,897,,,1257,,,,,1.5,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kusnadi, D., 2002",
42,53,"Inielka, Flores Tengah",Mapa 3,,,47.3,,,,,718,142,,,9.5,167,45,64,28,28,,339,1737,,,2757,,,,,3.2,,,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kusnadi, D., 2002",
43,54,"Inielka, Flores Tengah",Mapa 4,,,41.4,,,,,400,138,,,15.8,106,31,39,14,27,,90,600,,,945,,,,,1,,,,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kusnadi, D., 2002",
44,55,"Inielka, Flores Tengah",Mapa 5,,,44,,,,,325,144,,,8,102,32,47,16,36,,99,597,,,1230,,,,,0.9,,,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kusnadi, D., 2002",
45,56,"Inielka, Flores Tengah",mapn,,,43.5,,,,,350,127,,,,39,17,29,7.6,8.4,,3,23,237,,125,,,,,<dl,,,,,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kusnadi, D., 2002",
46,57,"Inielka, Flores Tengah",mada,,,19.1,,,,,1405,144,,,,98,5.9,13,1.8,48,,1.6,653,,,128,,,,,<dl,,,,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kusnadi, D., 2002",
47,58,"Inielka, Flores Tengah",sadn1,,,22.1,,,,,975,106,,,,29,10,11,3.6,7.9,,1.4,61,100,,46,,,,,<dl,,,,,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kusnadi, D., 2002",
48,59,"Inielka, Flores Tengah",Smapa1,,,32.5,,,,,325,140,,,9.5,105,32,43,15,25,,90,572,,,974,,,,,1.1,,,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kusnadi, D., 2002",
49,60,"Inielka, Flores Tengah",Smapa2,,,41.5,,,,,320,147,,,13.5,104,33,46,16,25,,91,571,,,1116,,,,,1,,,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kusnadi, D., 2002",
50,61,"Inielka, Flores Tengah",Smapa3,,,42.5,,,,,280,143,,,12.5,102,32,45,15,24,,90,577,,,1123,,,,,1,,,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kusnadi, D., 2002",
51,62,"Inielka, Flores Tengah",Sada,,,24.7,,,,,275,106,,,2.3,54,19,25,8.2,6.7,,37,222,,,423,,,,,1.5,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kusnadi, D., 2002",
52,71,Mataloko-upper,,,2500,,88.3,0,,,,,,34.7,,61,28.6,27.1,5.86,,,8.21,807,0,,,,,4.36,,0.43,,,,0.02,2.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
53,72,Mataloko-upper,,,873,,87.2,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
54,73,Mataloko-lower-1,,,490,,92,0,,,,,,,,17.7,8.7,17.1,5.1,0.03,,3.7,135,0,,,,,2.1,,0.07,,0.42,,,3.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
55,74,Mataloko-lower-2,,,1550,,94.6,0,,,,,,,,107,32.1,43.7,3.1,,,2.6,741,0,,,,,8.72,,0.29,,0.15,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
56,75,Mataloko-lower-2,,,1190,,84.9,0,,,,,,1.99,,29.3,17,18.3,8.61,,,4.31,303,0,,,,,1.04,,0.16,,0.17,,1.45,2.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
57,76,Nage-1,,,53000,,79.4,0.1666666667,,,,,,24.7,,78.6,30.2,14,36.6,0.3,,472,759,0,,,,,2.39,,4.81,1.43,0.12,,1.55,2.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
58,77,Nage-1,,,4740,,80,0.1666666667,,,,,,,,74.1,29.1,139,35,0.29,,443,761,0,,,,,,,4.78,1.35,0.03,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
59,78,Nage-2,,,48000,,73.2,0.1666666667,,,,,,22.5,,72.4,27.9,137,35,0.29,,400,757,0,,,,,2.98,,3.77,1.26,0.11,,1.25,2.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
60,79,Nage-2,,,4240,,73.4,0.1666666667,,,,,,,,70.4,27.5,131,33,0.27,,387,720,0,,,,,,,3.97,1.21,0.07,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
61,710,Nage-3,,,47000,,72,0.1666666667,,,,,,25.5,,71,27.3,125,31.8,0.26,,387,731,0,,,,,2.73,,4,1.18,0.11,,2,2.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
62,711,Keli Tiworiwu-1,,,1480,,52.8,0.015,,,,,,2.67,,136,50.4,74,30.5,0.02,,53.3,637,0,,,,,0.41,,0.71,0.13,0.12,,19,3.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
63,712,Keli Tiworiwu-2,,,2100,,72.1,0.015,,,,,,0.36,,221,78.5,128,67.7,,,115,1070,43.8,,,,,0.25,,1.01,0.28,0.11,,28.5,5.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
64,713,Bobo (Wai Putih),,,1700,,21,0,,,,,,,,80.3,30.4,28.9,4.2,,,3.3,695,0,,,,,,,1.15,,0.67,,,2.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
65,714,Bobo (Wae Putih),,,1420,,21.6,0,,,,,,,,51.5,19.7,21.5,4.42,,,4.95,512,0,,,,,0.39,,0.47,,,,11.5,2.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
66,715,Woko Bobo-1,,,,,,0,,,,,,,,,,,21.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
67,716,Woko-Bobo-2,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
68,717,Bena (Wae Pana),,,1540,,36.2,,,,,,,,,107,65.8,66.9,8.08,0.02,,43.7,574,154,,,,,0.18,,0,0.1,3.93,,,6.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
69,718,Soka (Wae Pana),,,850,,45.7,0.06,,,,,,,,,,,,,,10,407,11,,,,,,,0.92,,,,4.7,5.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
70,719,Mengeruda,,,1740,,41.1,0,,,,,,,,100,32.9,50.6,16.5,0.03,,104,678,0,,,,,,,0.46,0,0.02,,,2.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
71,720,Mengeruda,,,1780,,41.6,0.4,,,,,,,,103,34.2,52.8,16.7,,,108,711,0,,,,,0.21,,0.42,0.13,0.1,,,2.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
72,721,Mengeruda,,,1695,,40.9,0.4,,,,,,,,93.2,31.3,47.9,15.6,,,98.6,647,0,,,,,,,0.42,0.13,0.02,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
73,722,Wae Bana,,,1790,,37.2,0.0833333333,,,,,,,,106,33.6,43.7,15,,,96.4,679,0,,,,,0.23,,0.54,0.16,0.04,,,2.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
74,723,Piga,,,1820,,39.1,,,,,,,,,103,32.5,41.7,14.6,,,96.5,678,0,,,,,,,0.55,0.11,0.03,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
75,724,Gou (Wae Mega),,,1100,,35.2,,,,,,,,,118,25.7,30.4,6.93,,,30.5,550,0,,,,,0.19,,0.65,0.05,0.04,,6.1,3.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
76,725,Gou (Wae Bana Watuhwuti),,,2900,,40.5,,,,,,,,,139,38.5,48.7,13.2,,,135,985,0,,,,,0.42,,3.97,0.21,0.05,,12.4,2.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
77,726,Tukapela (Boba-Soa),,,7300,,47.7,,,,,,,,,174,51.5,74.6,30.8,,,403,2070,0,,,,,0.93,,10.8,0.63,0.1,,3.35,1.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
78,727,Liba,,,430,,34.8,,,,,,,,,42.2,22.6,16.4,5.32,,,3.12,13.8,203,,,,,0.43,,0.25,,,,,6.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
79,728,Paidane (Wae Wuta),,,460,,43.4,0.002,,,,,,,,43.4,16.8,28.1,7.11,,,4.61,24.9,192,,,,,0.53,,2.02,,1.02,,,6.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
80,729,Shokimatawae,,,340,,35.4,0.0143333333,,,,,,,,32.9,13.6,19.3,4.03,,,3.69,8.84,155,,,,,0.49,,0.22,,0.78,,,6.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
81,730,Langagedha,,,1130,,57,0.0166666667,,,,,,,,22.9,14.5,167,49.2,,,30.7,120,328,,,,,,,0.13,0.11,0.29,,,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
82,731,Mbey,,,18200,,76.4,,,,,,,,,487,154,3610,102,,,6390,750,108,,,,,,,1.85,21.3,4.11,,,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
83,732,Stream in Matakico,,,240,,26.2,,,,,,,,,241,9.02,11.2,3.08,,,3.35,6.14,101,,,,,,,0.24,,,,,7.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
84,733,Wae Ya (spring),,,230,,24.2,,,,,,,,,24.3,9.08,10,2.72,,,3.03,4.35,100,,,,,0.65,,0.38,,3.76,,,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
85,734,Stream of Keli Tiworiwu,,,410,,25.4,,,,,,,,,41.5,14.6,15.5,2.91,,,3.67,131,47.6,,,,,0.03,,0.18,,6.05,,,6.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
86,735,Wae Venu,,,196,,27.8,0.0001666667,,,,,,,,20,5.28,12.8,2.24,,,9,19,59.8,,,,,0.41,,0.12,,1.4,,,7.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
87,736,Wae Roe,,,230,,22.8,0.2166666667,,,,,,,,25.5,8.64,10.4,3.29,,,3.39,23,87.9,,,,,,,0.46,,3.58,,,7.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
88,737,Wae Guru,,,600,,25.3,0.0011666667,,,,,,,,73.1,20.7,20.3,4.94,,,4.04,191,94,,,,,0.89,,0.39,,0.81,,,6.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
89,738,Mutufoka,,,180,,19.4,0.0045,,,,,,,,19.8,7.16,8.98,2.48,,,3.08,10.3,67.8,,,,,0.12,,0.38,,2.55,,,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
