No,Code,Loc,ID,Desc,EC,TA,TW,Q,Coordx,Coordy,Coordz,SiO2,SiO4,Al,Fe,Ca,Mg,Na,K ,Li,NH3,Cl,SO4,HCO3,H2S,B,Al3+,As3+,NH4+,CO3-,F,Br,NO3,PO42-,H2S,pH,GT1,GT2,GT3,GT4,GT5,GT6,GT7,GT8,GT9,GT10,GT11,GT12,GT13,GT14,GT15,GT16,GT17,GT18,GT19,GT20,GT21,GT22,GT23,GT24,GT25,GT26,18O,D,RE,Kelompok Data
90,739,Mutufoka,,,175,,19.1,0.0045,,,,,,,,13.9,6.92,7.7,3.37,,,2.63,9.33,71.5,,,,,,,0.38,,2.96,0.06,,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
91,740,Wae Woki,,,260,,22.1,0.0001,,,,,,,,29.8,10.4,10.7,1.69,,,4.1,1.61,118,,,,,0.24,,0.22,,2.81,,,6.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
92,741,Wae Lapo,,,270,,28.1,0.015,,,,,,,,28.7,9,14.8,1.5,,,7.15,5.94,123,,,,,,,0.25,,2.58,,,7.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
93,742,Berewekw,,,240,,27,0.0833333333,,,,,,,,25.4,9.48,12.2,2.59,,,4.17,6.6,106,,,,,,,0.15,,2.08,,,6.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
94,743,Radabata (Wae Ba),,,290,,20.8,0.00005,,,,,,,,29.4,8.81,13.1,16.3,,,3.15,3.5,138,,,,,0.04,,0.21,,,,,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
95,744,Nage (cold springs),,,250,,23.5,1.66666666666667E-005,,,,,,,,29.4,7.73,12.4,2.98,,,3.27,76.3,35.2,,,,,,,0.4,,0.76,,,6.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
96,745,Wae Aru,,,270,,23.3,0.001,,,,,,,,23.8,3.12,16.2,2.46,,,4.37,91.1,24.7,,,,,,,0.15,,0.23,,,6.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
97,746,Kalibatu,,,101,,16,0.007,,,,,,,,8.09,9.05,5.93,2.25,,,2.23,7.7,36.4,,,,,0.99,,0.43,,0.33,,,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
98,747,Mangulewa (Wae Roa),,,282,,23.2,0.1666666667,,,,,,,,26.5,5.23,10.9,3.51,,,2.78,53.2,75.7,,,,,,,0.63,,2.06,0.09,,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
99,748,Aelade (Boawae),,,184,,23.9,0.0045,,,,,,,,14.9,16.5,11.3,2.52,,,.4.13,8.98,65.9,,,,,,,0.24,,4.96,,,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
100,749,Dowo Dambo (Naegaroro),,,428,,30.2,0,,,,,,,,39,13.3,25.5,2.44,,,7.48,8.46,206,,,,,,,0.16,,1.68,,,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
101,750,Mata Bulu (Riung),,,583,,29.8,0.003,,,,,,,,34.8,13.3,13.7,1.95,,,8.13,13.1,151,,,,,,,0.23,,1.24,,,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
102,751,Kali Dua (Airhere),,,330,,27.2,0.004,,,,,,,,27,15.3,21.1,3.34,,,5.32,7.14,157,,,,,,,0.51,,2.4,,,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
103,752,Dbidhu (Enam Desa),,,337,,28.5,0,,,,,,,,28.8,10.6,18.4,3.6,,,10.9,58.7,81.8,,,,,,,0.48,0.02,2.1,-0.47,,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
104,753,Wugha Wugha Dua (Aesona),,,756,,29.2,0,,,,,,,,54.3,21.4,34.8,2.49,,,21.3,122,150,,,,,,,0.42,0.05,0.57,,,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
105,754,Inerie VO rainfall,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
106,755,Eburobo VO rainfall,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
107,756,Wai Sano Lake Water,,,2980,,26.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
108,757,Wai Sano  1,,,6760,,41.1,0,,,,,,,,236,45.3,1050,89,2.27,,2150,63.4,189,,,,,1.82,,0.62,6.39,0.38,,,5.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
109,758,Wai Sano 2 (Bonok),,,51100,,83.9,0,,,,,,,,1990,165,9540,1260,22.7,,20000,300,67.1,,,,,,,6.34,59.2,1.63,,,6.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
110,759,Wai Sano 3,,,12700,,43.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
111,760,Wai Sano 4,,,12320,,45,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
112,761,Wai Pesi 1,,,16300,,76.8,0,,,,,,,,961,46.5,2320,113,0.29,,5460,260,36.6,,,,,,,2.09,18.2,0.62,,,6.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
113,762,Wai Pesi 2,,,17400,,89,0,,,,,,,,1050,43.1,2470,120,0.31,,5920,323,20.3,,,,,,,2.54,19.7,0.32,,,6.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
114,763,Oka-Lakantuka,,,10780,,57.4,0,,,,,,,,132,174,1980,179,0.35,,3360,399,260,,,,,,,1.06,11.3,0.42,,,6.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
115,764,Karangora fumarole,,,,,98.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
116,765,Karangora (Waiwejak),,,370,,37.4,0,,,,,,,,,,,,,,12.1,16.7,134,,,,,,,1.08,,24.7,,,7.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
117,766,Alor 1 (Bukapiting),,,9260,,,0,,,,,,,,247,29.9,1570,76.1,0.94,,2770,256,52.9,,,,,4.13,,1.25,9.27,0.32,,,7.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
118,767,Alor 2 (Bukapiting),,,9390,,,0,,,,,,,,256,27.9,1570,77.6,0.94,,2760,256,61,,,,,3.2,,1.4,9.25,0.23,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
119,768,Alor 3 (Bukapiting),,,9560,,,0,,,,,,,,267,27.1,1620,78.9,1,,2870,254,48.8,,,,,,,1.56,9.66,0.26,,,7.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
120,81,,AAPG-1,,8200,,77.1,,,,2,150.71,,0,0.08,406.77,11.9,1112.88,76.92,0.3,,2082.23,432.49,67.79,,2.34,,0.5,1.22,0,0,,,,,7.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heri S,
121,82,,AAPG-2,,11090,,63.7,,,,2,147.93,,0,0.04,550.56,44.64,1446.74,103.85,0.38,,3018.6,390,80.35,,3.28,,0.3,1.39,0,10,,,,,7.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heri S,
122,83,,AAPG-3,,13350,,44.2,,,,2,141.47,,0,0.02,575.56,104.6,1800.48,130.77,0.34,,3865.15,208.75,51.68,,3.13,,0.4,1.64,0,5,,,,,7.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heri S,
123,84,,APAK,,5490,,38,,,,0,79.19,,0,0.01,188.45,87.2,822.5,48.8,0.05,,3865.15,208.75,51.68,,3.13,,0.4,1.64,0,5,,,,,7.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heri S,
124,85,,APMB,,30500,,42.9,,,,0,106.75,,0,0.01,634.38,437.47,4352.2,200.04,0.14,,8349.5,1126.28,161.29,,5.91,,0.4,0.94,0,2,,,,,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heri S,
125,86,,ADMT,,218,,31.7,,,,1,76.18,,0,0.1,25.64,7.27,20.42,3.21,0.01,,5,5,151.93,,0.06,,0,0,0,1,,,,,7.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heri S,
126,87,,APKR-1,,6256,,71.7,,,,131,140,,0,0.03,99.2,23.81,1120.65,86.54,1.6,,1559.57,237.44,542.56,,49.7,,1.5,1.49,0,1,,,,,7.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heri S,
127,88,,APKR-2,,7270,,71.7,,,,131,148.5,,0,0.05,121.2,27,1427,124.23,1.59,,1997.4,267.48,613.02,,54.85,,1.9,1.49,0,0,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heri S,
128,89,,APTR,,515,,37,,,,6,99.39,,0,0.02,50.54,4.11,50.54,4.62,0.03,,17.44,2,303.05,,0.16,,0.6,1.37,0,1.5,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heri S,
129,810,,APIR-1,,7.77,,3,,,,3,1490,,150.83,0,0.01,59.52,23.81,263.91,22.78,,313.17,190.89,252.71,,1.62,,0.05,1,0,1.09,,,,,80.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heri S,
130,811,,APIR-2,,1330,,73.6,,,,3,148,,0,0.02,44.32,15,245.39,19.31,0.01,,243.39,180.18,200.73,,1.06,,0.75,1.16,0,2,,,,,7.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heri S,
131,812,,APPM-1,,2554,,66.3,,,,153,131.52,,0,0.03,68.64,29.75,354.65,34.72,0.89,,243.17,256.99,355.29,,5.46,,1,1.39,0,2.5,,,,,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heri S,
132,813,,APPM-2,,2580,,68.4,,,,155,132.76,,0,0.02,88.4,35.71,358.96,34.72,0.91,,397,299.09,379.06,,5.76,,1.1,1.39,0,1.5,,,,,6.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heri S,
133,814,,ASIR,,370,,30,,,,3,44.05,,0,0.1,59.52,26.78,15.43,1.5,0.01,,5,92.18,191.09,,0.06,,0,1.16,16.67,1,,,,,8.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heri S,
134,91,Teretere,,,,,,,296,,,,,,,37,0.16,,,26,,3061,68,49,,,,,,,,,,,,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Euis,
135,92,Tokaanu,,,,,,,219,,,,,,,29,1.19,,,19,,2345,57,24,,,,,,,,,,,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Euis,
136,93,Tokaanu,,,,,,,134,,,,,,,16,1.22,,,8,,1127,26,12,,,,,,,,,,,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Euis,
137,94,Paureni,,,,,,,260,,,,,,,34,0.13,,,25,,2934,64,54,,,,,,,,,,,,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Euis,
138,95,Paureni,,,,,,,275,,,,,,,36,0.21,,,23,,2805,70,36,,,,,,,,,,,,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Euis,
139,96,Paureni,,,,,,,217,,,,,,,31,0.52,,,17,,2218,53,28,,,,,,,,,,,,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Euis,
140,97,Toretiti,,,,,,,213,,,,,,,38,3.57,,,6,,886,22,184,,,,,,,,,,,,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Euis,
141,98,ex.Geyser,,,,,,,233,,,,,,,33,0.08,,,25,,2983,53,42,,,,,,,,,,,,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Euis,
142,99,Tokaanu,,,,,,,192,,,,,,,28,0.36,,,15,,1892,62,61,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Euis,
143,910,Tokaanu,,,,,,,228,,,,,,,28,0.9,,,20,,2445,48,18,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Euis,
144,911,Stream,,,,,,,46,,,,,,,8,3.13,,,0.1,,21,0,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,912,arwel,A2000,,,21.8,,,,,1537,,,,,,,,,,,,,,,,,,,,,,,,,1.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Data Bu Rina 1,2 "
146,913,arwel,A2500,,,22.5,,,,,1347,,,,,,,,,,,,,,,,,,,,,,,,,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,914,arwel,A3000,,,23.7,,,,,1373,,,,,,,,,,,,,,,,,,,,,,,,,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,915,arwel,A3500,,,23.4,,,,,1304,,,,,,,,,,,,,,,,,,,,,,,,,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,916,arwel,A4000,,,26.6,,,,,1228,,,,,,,,,,,,,,,,,,,,,,,,,2.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,917,arwel,A4500,,,25.1,,,,,1159,,,,,,,,,,,,,,,,,,,,,,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,918,arwel,A5000,,,24.6,,,,,1157,,,,,,,,,,,,,,,,,,,,,,,,,2.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,919,arwel,A5500,,,28.8,,,,,1007,,,,,,,,,,,,,,,,,,,,,,,,,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,920,arwel,A6000,,,29.3,,,,,977,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,921,arwel,A6500,,,28.6,,,,,941,,,,,,,,,,,,,,,,,,,,,,,,,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,922,arwel,A7000,,,31.6,,,,,917,,,,,,,,,,,,,,,,,,,,,,,,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,923,arwel,A7500,,,28.4,,,,,865,,,,,,,,,,,,,,,,,,,,,,,,,1.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,924,arwel,A8000,,,29.7,,,,,797,,,,,,,,,,,,,,,,,,,,,,,,,2.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,925,arwel,B4000,,,24.6,,,,,1511,,,,,,,,,,,,,,,,,,,,,,,,,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,926,arwel,B4500,,,25.8,,,,,1424,,,,,,,,,,,,,,,,,,,,,,,,,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,927,arwel,B5000,,,28,,,,,1260,,,,,,,,,,,,,,,,,,,,,,,,,2.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,928,arwel,B5500,,,28.6,,,,,1202,,,,,,,,,,,,,,,,,,,,,,,,,2.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,929,arwel,B6000,,,28.8,,,,,1128,,,,,,,,,,,,,,,,,,,,,,,,,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,930,arwel,B6500,,,26.5,,,,,1081,,,,,,,,,,,,,,,,,,,,,,,,,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,931,arwel,B6800,,,28,,,,,907,,,,,,,,,,,,,,,,,,,,,,,,,3.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,932,arwel,B7150,,,26.4,,,,,885,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,933,arwel,B7500,,,28.4,,,,,738,,,,,,,,,,,,,,,,,,,,,,,,,5.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,934,arwel,B8000,,,30.9,,,,,814,,,,,,,,,,,,,,,,,,,,,,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,935,arwel,B8500,,,32,,,,,724,,,,,,,,,,,,,,,,,,,,,,,,,2.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,936,arwel,B9000,,,31.8,,,,,684,,,,,,,,,,,,,,,,,,,,,,,,,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,937,arwel,B9500,,,32.6,,,,,654,,,,,,,,,,,,,,,,,,,,,,,,,2.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,938,arwel,C3500,,,25.1,,,,,1857,,,,,,,,,,,,,,,,,,,,,,,,,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,939,arwel,C4000,,,24,,,,,1678,,,,,,,,,,,,,,,,,,,,,,,,,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,940,arwel,C4500,,,26.5,,,,,1509,,,,,,,,,,,,,,,,,,,,,,,,,1.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,941,arwel,C5000,,,25.7,,,,,1461,,,,,,,,,,,,,,,,,,,,,,,,,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,942,arwel,C5500,,,25.3,,,,,1322,,,,,,,,,,,,,,,,,,,,,,,,,3.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,943,arwel,C6000,,,25.2,,,,,1171,,,,,,,,,,,,,,,,,,,,,,,,,1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,944,arwel,C6500,,,26.2,,,,,1169,,,,,,,,,,,,,,,,,,,,,,,,,1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,945,arwel,C7250,,,29.5,,,,,1019,,,,,,,,,,,,,,,,,,,,,,,,,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,946,arwel,C7750,,,31,,,,,872,,,,,,,,,,,,,,,,,,,,,,,,,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,947,arwel,C8500,,,29.8,,,,,848,,,,,,,,,,,,,,,,,,,,,,,,,2.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,948,arwel,C9000,,,28,,,,,846,,,,,,,,,,,,,,,,,,,,,,,,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,949,arwel,C9500,,,31.1,,,,,730,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,950,arwel,C10000,,,31.8,,,,,709,,,,,,,,,,,,,,,,,,,,,,,,,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,951,arwel,D3500,,,21.8,,,,,2129,,,,,,,,,,,,,,,,,,,,,,,,,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,952,arwel,D4000,,,22.1,,,,,1970,,,,,,,,,,,,,,,,,,,,,,,,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,953,arwel,D5000,,,24.6,,,,,1644,,,,,,,,,,,,,,,,,,,,,,,,,2.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,954,arwel,D5500,,,24.6,,,,,1500,,,,,,,,,,,,,,,,,,,,,,,,,1.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,955,arwel,D6000,,,24,,,,,1375,,,,,,,,,,,,,,,,,,,,,,,,,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,956,arwel,D6500,,,25.5,,,,,1249,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,957,arwel,D7000,,,26.7,,,,,1139,,,,,,,,,,,,,,,,,,,,,,,,,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,958,arwel,D7500,,,26.8,,,,,1060,,,,,,,,,,,,,,,,,,,,,,,,,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,959,arwel,D8500,,,27,,,,,954,,,,,,,,,,,,,,,,,,,,,,,,,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,960,arwel,D9000,,,28.3,,,,,910,,,,,,,,,,,,,,,,,,,,,,,,,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,961,arwel,D9500,,,34.8,,,,,775,,,,,,,,,,,,,,,,,,,,,,,,,3.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,962,arwel,D10000,,,29.7,,,,,712,,,,,,,,,,,,,,,,,,,,,,,,,1.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,963,arwel,E4500,,,22.9,,,,,1806,,,,,,,,,,,,,,,,,,,,,,,,,2.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,964,arwel,E5000,,,29.2,,,,,1639,,,,,,,,,,,,,,,,,,,,,,,,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,965,arwel,E5500,,,29.3,,,,,1513,,,,,,,,,,,,,,,,,,,,,,,,,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,966,arwel,E6000,,,29.4,,,,,1486,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,967,arwel,E6500,,,31.5,,,,,1268,,,,,,,,,,,,,,,,,,,,,,,,,1.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,968,arwel,E7000,,,25.8,,,,,653,,,,,,,,,,,,,,,,,,,,,,,,,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,969,arwel,E7500,,,30.9,,,,,1069,,,,,,,,,,,,,,,,,,,,,,,,,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,970,arwel,E8000,,,29.3,,,,,933,,,,,,,,,,,,,,,,,,,,,,,,,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,971,arwel,E9000,,,30.1,,,,,844,,,,,,,,,,,,,,,,,,,,,,,,,1.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,972,arwel,F4000,,,21.4,,,,,2120,,,,,,,,,,,,,,,,,,,,,,,,,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,973,arwel,F4500,,,23.8,,,,,1990,,,,,,,,,,,,,,,,,,,,,,,,,1.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,974,arwel,F5000,,,23,,,,,1727,,,,,,,,,,,,,,,,,,,,,,,,,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,975,arwel,F5500,,,26.4,,,,,1628,,,,,,,,,,,,,,,,,,,,,,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,976,arwel,F6000,,,24.2,,,,,1478,,,,,,,,,,,,,,,,,,,,,,,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,977,arwel,F6400,,,26.2,,,,,1353,,,,,,,,,,,,,,,,,,,,,,,,,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,978,arwel,F7000,,,27.2,,,,,1177,,,,,,,,,,,,,,,,,,,,,,,,,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,979,arwel,F8000,,,28.7,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
