"","EC","TA","TW","Q","Elv","SiO2","SiO4","Al","Fe","Ca","Mg","Na","K","Li","NH3","Cl","SO4","HCO3","H2S","B","Al3.","As3.","NH4.","CO3.","F","Br","NO3","PO42.","H2S.1","pH"
"EC",1,-0.17260044050461,0.327517026765038,-0.0237093730537058,-0.128665201209852,-0.0344352588569923,-0.0178080425215674,0.187722550147076,-0.0331287754470714,0.539263000026961,0.261893019068284,0.406419330979509,0.440878795466054,0.0478850623752076,-0.0227470191601218,NA,NA,NA,-0.0104516710676854,-0.0270253274978582,-0.0191402284895457,0.0843318017141908,0.0268988733722978,NA,NA,NA,NA,-0.00985446695196967,NA,NA
"TA",-0.17260044050461,1,-0.354964779605819,-0.0148083269427659,0.40672376531528,0.019558333460567,-0.0701752039635483,-0.068049472078303,0.310869786412904,-0.137715201849657,-0.0111197400301564,-0.0911846027156759,-0.0582011322184514,0.036286711755872,-0.0896379659466237,NA,NA,NA,-0.04118634308327,0.1992445256043,0.275165975558607,-0.173026719187886,0.277060373869708,NA,NA,NA,NA,-0.0529885235046002,NA,NA
"TW",0.327517026765038,-0.354964779605819,1,0.150111771441089,-0.198608640441662,-0.0164546657650406,-0.0562071055532331,0.0473908372304683,-0.0723407089351096,0.21699740283399,0.137744231733712,0.146124736062919,0.142767207987943,-0.117823003719512,-0.0717958812938553,NA,NA,NA,-0.0329883634429551,-0.0877358934676469,-0.0604152567990571,0.165994154598837,0.0126499223127102,NA,NA,NA,NA,0.0180881420544978,NA,NA
"Q",-0.0237093730537058,-0.0148083269427659,0.150111771441089,1,-0.0709976490845284,0.0132120935933277,-0.00999847276307138,-0.00941521141765541,-0.0114074856566734,-0.0101098566063062,-0.00271640143030018,-0.00835713600559866,0.0183200025960354,-0.026402700331185,-0.0127715020467911,NA,NA,NA,-0.0058681771661468,-0.0163646407720721,-0.0107470451223865,-0.0113733874012838,-0.00504445902210661,NA,NA,NA,NA,-0.00743256326124052,NA,NA
"Elv",-0.128665201209852,0.40672376531528,-0.198608640441662,-0.0709976490845284,1,-0.208130396764938,-0.0538482964868525,-0.0519897687014049,-0.089297308018023,-0.210873025183324,-0.239432526597174,-0.171993316287089,-0.169955860221966,-0.0623584661552006,-0.0687828676533586,NA,NA,NA,-0.0316039610616475,0.00540531958024165,-0.0578798468347358,-0.120399296115431,-0.0753354988633116,NA,NA,NA,NA,-0.0406602555164414,NA,NA
"SiO2",-0.0344352588569923,0.019558333460567,-0.0164546657650406,0.0132120935933277,-0.208130396764938,1,0.0166845369901474,0.614936870423047,0.236701560213324,0.079808952175688,0.210476650033478,0.0287451593470121,0.161864707961632,0.221138562169646,0.0699815311141769,NA,NA,NA,0.0444582349645566,0.122272986567558,0.170687737736492,0.101356904215815,0.0859306274256663,NA,NA,NA,NA,-0.0264276008465291,NA,NA
"SiO4",-0.0178080425215674,-0.0701752039635483,-0.0562071055532331,-0.00999847276307138,-0.0538482964868525,0.0166845369901474,1,-0.00678976060276105,-0.0132164965102881,-0.0314657608329728,-0.0230829298398518,-0.00831666773540675,-0.00350588748388194,-0.0217190454076302,-0.00893554639654367,NA,NA,NA,-0.00410565406787197,-0.0112483453945025,-0.00751914065902383,-0.0173925192952067,-0.0108038439370016,NA,NA,NA,NA,-0.00528215254841505,NA,NA
"Al",0.187722550147076,-0.068049472078303,0.0473908372304683,-0.00941521141765541,-0.0519897687014049,0.614936870423047,-0.00678976060276105,1,-0.0127987484475526,-0.0136034788985638,0.0430778248695385,-0.0181389963700101,0.138575365912998,0.17293492846956,-0.00867286869607338,NA,NA,NA,-0.00398496041114245,-0.0108179879800745,-0.00729810094973542,-0.00428042535654769,0.0183485360278268,NA,NA,NA,NA,-0.00512687343918367,NA,NA
"Fe",-0.0331287754470714,0.310869786412904,-0.0723407089351096,-0.0114074856566734,-0.089297308018023,0.236701560213324,-0.0132164965102881,-0.0127987484475526,1,0.117728558002761,0.154611180969294,-0.0246983554955517,0.00193016328481905,0.0590385349379048,0.0207639887563887,NA,NA,NA,-0.0077568589599585,0.103964842303407,0.852839754910078,-0.0160689955737849,0.0209729488635302,NA,NA,NA,NA,-0.00997963092986007,NA,NA
"Ca",0.539263000026961,-0.137715201849657,0.21699740283399,-0.0101098566063062,-0.210873025183324,0.079808952175688,-0.0314657608329728,-0.0136034788985638,0.117728558002761,1,0.423891537285706,0.668147526816225,0.730765347551101,0.194991169683936,0.0889087092593275,NA,NA,NA,0.0454383373638817,0.0690173026605637,0.0855052632035777,0.189636537924386,0.02314450809057,NA,NA,NA,NA,-0.0123123295491674,NA,NA
"Mg",0.261893019068284,-0.0111197400301564,0.137744231733712,-0.00271640143030018,-0.239432526597174,0.210476650033478,-0.0230829298398518,0.0430778248695385,0.154611180969294,0.423891537285706,1,0.694897460094232,0.5302024518965,0.0485564621254985,0.0696753304392737,NA,NA,NA,0.062671852602261,0.0460210821393143,0.126047042417157,0.100288817545464,0.084781221488953,NA,NA,NA,NA,-0.0152070705490115,NA,NA
"Na",0.406419330979509,-0.0911846027156759,0.146124736062919,-0.00835713600559866,-0.171993316287089,0.0287451593470121,-0.00831666773540675,-0.0181389963700101,-0.0246983554955517,0.668147526816225,0.694897460094232,1,0.8249333616886,0.103530904756153,0.00361169549511348,NA,NA,NA,-0.00537471369160491,-0.0208834939148943,-0.0194594658374664,0.165347991749832,0.0387364894452014,NA,NA,NA,NA,-0.0163348156363618,NA,NA
"K",0.440878795466054,-0.0582011322184514,0.142767207987943,0.0183200025960354,-0.169955860221966,0.161864707961632,-0.00350588748388194,0.138575365912998,0.00193016328481905,0.730765347551101,0.5302024518965,0.8249333616886,1,0.203857680275538,0.007883336585943,NA,NA,NA,0.00772767735359711,0.00160302783598456,-0.00267324905599977,0.14443221189442,0.0480947757144649,NA,NA,NA,NA,-0.0153300293956296,NA,NA
"Li",0.0478850623752076,0.036286711755872,-0.117823003719512,-0.026402700331185,-0.0623584661552006,0.221138562169646,-0.0217190454076302,0.17293492846956,0.0590385349379048,0.194991169683936,0.0485564621254985,0.103530904756153,0.203857680275538,1,-0.0199901357189743,NA,NA,NA,-0.0110400936663514,0.584062474440692,-0.0206418177220084,0.0119590881002399,-0.0185098205016275,NA,NA,NA,NA,-0.0167502608089361,NA,NA
"NH3",-0.0227470191601218,-0.0896379659466237,-0.0717958812938553,-0.0127715020467911,-0.0687828676533586,0.0699815311141769,-0.00893554639654367,-0.00867286869607338,0.0207639887563887,0.0889087092593275,0.0696753304392737,0.00361169549511348,0.007883336585943,-0.0199901357189743,1,NA,NA,NA,0.785584650504536,-0.011628020862504,-0.00960453887232809,-0.0222162525258859,-0.0138002391189434,NA,NA,NA,NA,-0.0067471326553699,NA,NA
"Cl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SO4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HCO3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H2S",-0.0104516710676854,-0.04118634308327,-0.0329883634429551,-0.0058681771661468,-0.0316039610616475,0.0444582349645566,-0.00410565406787197,-0.00398496041114245,-0.0077568589599585,0.0454383373638817,0.062671852602261,-0.00537471369160491,0.00772767735359711,-0.0110400936663514,0.785584650504536,NA,NA,NA,1,-0.00424538463895982,-0.0044130389280348,-0.0102077974315097,-0.00634085542862961,NA,NA,NA,NA,-0.0031001341612088,NA,NA
"B",-0.0270253274978582,0.1992445256043,-0.0877358934676469,-0.0163646407720721,0.00540531958024165,0.122272986567558,-0.0112483453945025,-0.0108179879800745,0.103964842303407,0.0690173026605637,0.0460210821393143,-0.0208834939148943,0.00160302783598456,0.584062474440692,-0.011628020862504,NA,NA,NA,-0.00424538463895982,1,-0.0100052214829751,-0.00243349153352512,-0.0143964817451014,NA,NA,NA,NA,-0.0087217163260588,NA,NA
"Al3.",-0.0191402284895457,0.275165975558607,-0.0604152567990571,-0.0107470451223865,-0.0578798468347358,0.170687737736492,-0.00751914065902383,-0.00729810094973542,0.852839754910078,0.0855052632035777,0.126047042417157,-0.0194594658374664,-0.00267324905599977,-0.0206418177220084,-0.00960453887232809,NA,NA,NA,-0.0044130389280348,-0.0100052214829751,1,-0.0186552589466398,0.0172926294621178,NA,NA,NA,NA,-0.00567762028525116,NA,NA
"As3.",0.0843318017141908,-0.173026719187886,0.165994154598837,-0.0113733874012838,-0.120399296115431,0.101356904215815,-0.0173925192952067,-0.00428042535654769,-0.0160689955737849,0.189636537924386,0.100288817545464,0.165347991749832,0.14443221189442,0.0119590881002399,-0.0222162525258859,NA,NA,NA,-0.0102077974315097,-0.00243349153352512,-0.0186552589466398,1,0.0349372826932535,NA,NA,NA,NA,-0.0131328997341709,NA,NA
"NH4.",0.0268988733722978,0.277060373869708,0.0126499223127102,-0.00504445902210661,-0.0753354988633116,0.0859306274256663,-0.0108038439370016,0.0183485360278268,0.0209729488635302,0.02314450809057,0.084781221488953,0.0387364894452014,0.0480947757144649,-0.0185098205016275,-0.0138002391189434,NA,NA,NA,-0.00634085542862961,-0.0143964817451014,0.0172926294621178,0.0349372826932535,1,NA,NA,NA,NA,-0.00815786354811609,NA,NA
"CO3.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"Br",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"NO3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"PO42.",-0.00985446695196967,-0.0529885235046002,0.0180881420544978,-0.00743256326124052,-0.0406602555164414,-0.0264276008465291,-0.00528215254841505,-0.00512687343918367,-0.00997963092986007,-0.0123123295491674,-0.0152070705490115,-0.0163348156363618,-0.0153300293956296,-0.0167502608089361,-0.0067471326553699,NA,NA,NA,-0.0031001341612088,-0.0087217163260588,-0.00567762028525116,-0.0131328997341709,-0.00815786354811609,NA,NA,NA,NA,1,NA,NA
"H2S.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"pH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
